# InSight catalogue art credits — GENERATED by scripts/build-catalog-art.mjs countries, do not edit.
# One row per image under web/catalog-art/countries/:
# key<TAB>file<TAB>name<TAB>author<TAB>licence<TAB>source
# The key is the catalogue key (public/countries.txt); the file is what
# hosting serves; author and licence are what the licence requires shown
# beside the picture, which the app's credits sheet draws from this file.
# A takedown is `node scripts/build-catalog-art.mjs countries --remove <key>` (D420).
# 246 entries.
226	226.webp	Equatorial Guinea	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Equatorial_Guinea.svg
231	231.webp	Ethiopia	Drawn by User:SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Ethiopia.svg
232	232.webp	Eritrea	Unknown authorUnknown author	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Eritrea.svg
233	233.webp	Estonia	Original: Unknown author Vector: SKopp, PeepP and ‍others	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Estonia.svg
234	234.webp	Faroe Islands	It was made by User:IceKarma (Jeffrey Connell), who released it to the public domain.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Faroe_Islands.svg
238	238.webp	Falkland Islands	Original: Government of the United Kingdom Vector: Nightstallion and Echando una mano	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Falkland_Islands.svg
239	239.webp	South Georgia	unknown author	CC0	https://commons.wikimedia.org/wiki/File:Flag_of_South_Georgia_and_the_South_Sandwich_Islands.svg
242	242.webp	Fiji	Tessa Mackenzie	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Fiji.svg
246	246.webp	Finland	Unknown	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Finland.svg
248	248.webp	Åland Islands	created by Zscout370	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_%C3%85land.svg
250	250.webp	France	Original: Unknown Vector: SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_France.svg
254	254.webp	French Guiana	Original: Unknown Vector: SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_France.svg
258	258.webp	French Polynesia	Nightstallion	CC0	https://commons.wikimedia.org/wiki/File:Flag_of_French_Polynesia.svg
260	260.webp	French Southern and Antarctic Lands	Académie de Grenoble	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_French_Southern_and_Antarctic_Lands.svg
262	262.webp	Djibouti	Unknown authorUnknown author	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Djibouti.svg
266	266.webp	Gabon	Léon Augé and Pierre Claver Eyeghe	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Gabon.svg
268	268.webp	Georgia	Last update by MapGrid SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Georgia.svg
270	270.webp	Gambia	Vzb83 iThe source code of the previous SVG was invalid due to 39 errors.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_The_Gambia.svg
275	275.webp	Palestine	Orionist, previous versions by Makaristos, Mysid, etc.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Palestine.svg
276	276.webp	Germany	User:SKopp, User:Madden, and other users	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Germany.svg
288	288.webp	Ghana	Theodosia Okoh	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Ghana.svg
292	292.webp	Gibraltar	Created on behalf of Isabella I of Castile in 1502; this version uploaded by Denelson83 (talk · con…	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Gibraltar.svg
296	296.webp	Kiribati	User:Hanzlan	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Kiribati.svg
